room_id,level,trade,quantity,unit
1773269,L 1,Interior Finishes,291.0,SF/crew-hour
1773270,L 1,Interior Walls,2.0,EA/crew-hour
1773270,L 1,MEP,5.0,EA/crew-hour
1773270,L 1,Ceiling,3.0,EA/crew-hour
1773270,L 1,Doors,1.0,EA/crew-hour
1773270,L 1,Interior Finishes,177.0,SF/crew-hour
1773274,L 1,Interior Walls,2.0,EA/crew-hour
1773274,L 1,MEP,7.0,EA/crew-hour
1773274,L 1,Ceiling,3.0,EA/crew-hour
1773274,L 1,Doors,1.0,EA/crew-hour
1773274,L 1,Interior Finishes,92.0,SF/crew-hour
1773278,L 1,Interior Walls,4.0,EA/crew-hour
1773278,L 1,MEP,6.0,EA/crew-hour
1773278,L 1,Ceiling,3.0,EA/crew-hour
1773278,L 1,Doors,1.0,EA/crew-hour
1773278,L 1,Interior Finishes,175.0,SF/crew-hour
1773440,L 1,Interior Walls,2.0,EA/crew-hour
1773440,L 1,MEP,51.0,EA/crew-hour
1773440,L 1,Ceiling,0.0,EA/crew-hour
1773440,L 1,Doors,1.0,EA/crew-hour
1773440,L 1,Interior Finishes,275.0,SF/crew-hour
